City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-20.56,76,0,8.0,RU,1703904235
1,udachny,66.4167,112.4,-25.31,83,100,3.35,RU,1703904236
2,whitehorse,60.7161,-135.0538,-10.5,89,100,0.0,CA,1703904153
3,grytviken,-54.2811,-36.5092,-0.45,76,84,2.88,GS,1703904236
4,bilibino,68.0546,166.4372,-41.8,99,55,1.3,RU,1703904236
5,wailua homesteads,22.0669,-159.378,26.24,78,21,0.89,US,1703904236
6,bethel,41.3712,-73.414,8.3,80,100,3.09,US,1703904237
7,stanley,54.868,-1.6985,1.82,93,0,6.69,GB,1703904237
8,dudinka,69.4058,86.1778,-25.88,95,100,6.42,RU,1703904237
9,albany,42.6001,-73.9662,5.93,92,100,2.48,US,1703904109
10,adamstown,-25.066,-130.1015,22.67,78,99,7.79,PN,1703904237
11,port elizabeth,-33.918,25.5701,18.51,89,0,4.63,ZA,1703903941
12,iqaluit,63.7506,-68.5145,-9.15,92,100,5.66,CA,1703904238
13,cooper's town,26.8667,-77.5167,20.22,67,100,5.08,BS,1703904238
14,annau,37.8876,58.516,-1.28,93,0,2.06,TM,1703904238
15,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1703904238
16,badagry,6.4167,2.8833,24.67,87,2,1.61,NG,1703904239
17,galle,6.0367,80.217,26.17,79,89,2.2,LK,1703904239
18,invercargill,-46.4,168.35,16.68,68,20,3.58,NZ,1703904239
19,port-aux-francais,-49.35,70.2167,5.05,83,94,15.05,TF,1703904239
20,bredasdorp,-34.5322,20.0403,20.76,92,100,4.54,ZA,1703904239
21,longyearbyen,78.2186,15.6401,0.91,60,75,7.72,SJ,1703904240
22,haiku-pauwela,20.9219,-156.3051,23.01,75,40,8.23,US,1703904240
23,punta arenas,-53.15,-70.9167,10.06,81,75,9.26,CL,1703904122
24,sandpoint,48.2766,-116.5533,2.01,92,0,6.17,US,1703904240
25,puerto natales,-51.7236,-72.4875,9.08,94,100,2.47,CL,1703904241
26,mangrol,21.1167,70.1167,21.84,54,4,3.51,IN,1703904241
27,yellowknife,62.456,-114.3525,-9.71,92,100,3.09,CA,1703904241
28,dauphin,51.1494,-100.0502,-2.92,80,100,4.63,CA,1703904241
29,kant,27.8,79.8,13.74,67,38,1.22,IN,1703904241
30,preobrazheniye,42.9019,133.9064,0.21,62,100,2.38,RU,1703904242
31,bamboo flat,11.7,92.7167,29.05,74,40,4.12,IN,1703904242
32,siocon,7.7061,122.1353,29.4,74,36,1.02,PH,1703904242
33,vernal,40.4555,-109.5287,-5.75,69,0,0.45,US,1703904243
34,odienne,9.51,-7.5692,19.44,16,0,1.21,CI,1703904243
35,puerto ayora,-0.7393,-90.3518,24.75,96,71,2.24,EC,1703904243
36,baume-les-dames,47.353,6.3612,9.7,97,88,3.51,FR,1703904243
37,port blair,11.6667,92.75,29.02,74,40,4.12,IN,1703904244
38,ust-nera,64.5667,143.2,-43.35,98,84,1.65,RU,1703904244
39,vilyuchinsk,52.9306,158.4028,-10.85,68,100,3.73,RU,1703904244
40,waitangi,-43.9535,-176.5597,18.79,95,100,4.92,NZ,1703904245
41,biella,45.5871,8.0859,6.49,79,100,1.33,IT,1703904245
42,hermanus,-34.4187,19.2345,20.45,86,100,5.12,ZA,1703904245
43,mount isa,-20.7333,139.5,40.87,24,0,6.17,AU,1703904173
44,timbuktu,16.7735,-3.0074,17.57,17,0,4.69,ML,1703904246
45,puerto san jose,13.9256,-90.8244,25.09,81,79,1.46,GT,1703904246
46,walvis bay,-22.9575,14.5053,16.16,88,0,0.51,NA,1703904247
47,aasiaat,68.7098,-52.8699,-23.73,88,97,5.52,GL,1703904247
48,nemuro,43.3236,145.575,0.85,66,9,6.89,JP,1703904247
49,kailua-kona,19.6406,-155.9956,26.95,81,75,3.6,US,1703904001
50,taskopru,41.5098,34.2141,3.32,65,35,0.81,TR,1703904248
51,ushuaia,-54.8,-68.3,8.81,87,40,2.06,AR,1703904024
52,hasaki,35.7333,140.8333,15.16,68,57,2.71,JP,1703904248
53,talnakh,69.4865,88.3972,-19.34,98,100,1.32,RU,1703904249
54,hotan,37.0997,79.9269,-0.39,44,36,1.53,CN,1703904079
55,edinburgh of the seven seas,-37.0676,-12.3116,17.69,98,100,4.17,SH,1703904249
56,contamana,-7.3333,-75.0167,24.33,88,100,1.09,PE,1703904249
57,sitka,57.0531,-135.33,11.94,58,100,7.72,US,1703904101
58,blackmans bay,-43.0167,147.3167,15.07,58,84,0.89,AU,1703904250
59,buckeburg,52.2607,9.0494,7.68,87,40,6.69,DE,1703904250
60,fort st. john,56.2499,-120.8529,-6.06,93,75,2.06,CA,1703904251
61,tiksi,71.6872,128.8694,-36.01,98,69,4.67,RU,1703904251
62,alofi,-19.0595,-169.9187,28.94,70,35,7.2,NU,1703904251
63,carnarvon,-24.8667,113.6333,24.72,64,7,5.64,AU,1703904252
64,susuman,62.7833,148.1667,-37.23,99,100,0.89,RU,1703904252
65,muynoq,43.7683,59.0214,0.33,72,22,5.03,UZ,1703904252
66,west island,-12.1568,96.8225,27.99,83,100,3.6,CC,1703904253
67,vadso,70.0744,29.7487,-8.91,100,20,4.12,NO,1703904253
68,rumphi,-11.0186,33.8575,18.95,80,99,0.64,MW,1703904253
69,port alfred,-33.5906,26.891,22.03,84,100,5.59,ZA,1703904254
70,mingguang,32.7802,117.9638,12.04,70,9,4.6,CN,1703904254
71,ghadamis,30.1337,9.5007,12.55,42,0,2.77,LY,1703904254
72,weyburn,49.6668,-103.8511,-4.88,86,0,4.12,CA,1703904255
73,usinsk,65.9939,57.5281,-14.96,91,93,5.81,RU,1703904255
74,korsor,55.3299,11.1386,5.17,88,100,8.55,DK,1703904255
75,colonia,50.9333,6.95,9.98,78,20,5.14,DE,1703904109
76,lincheng,19.9078,109.6858,22.09,86,99,5.94,CN,1703904256
77,zdvinsk,54.7021,78.661,-8.44,87,100,9.55,RU,1703904256
78,zhanaozen,43.3,52.8,6.11,94,73,7.16,KZ,1703904081
79,nova vicosa,-17.8919,-39.3719,25.26,83,100,5.41,BR,1703904257
80,el porvenir,13.7617,-87.3458,23.63,88,90,1.74,HN,1703904257
81,erenhot,43.6475,111.9767,-9.54,91,97,4.9,CN,1703904257
